Crossover Probability (p),Empirical BER,P_e Lexicographic,P_e Anti-Lexicographic,P_e Coin-Flip
0.157,0.19798000,0.12361430,0.13023994,0.12941397
0.158,0.19088000,0.12488658,0.13159685,0.13075347
0.159,0.19594000,0.12616145,0.13295652,0.13209553
0.160,0.20266000,0.12743885,0.13431889,0.13344008
0.161,0.20663000,0.12871871,0.13568388,0.13478705
0.162,0.20469000,0.13000100,0.13705144,0.13613637
0.163,0.21025000,0.13128564,0.13842149,0.13748798
0.164,0.20724000,0.13257260,0.13979397,0.13884181
0.165,0.21378000,0.13386180,0.14116881,0.14019781
0.166,0.21717000,0.13515320,0.14254596,0.14155590
0.167,0.22151000,0.13644674,0.14392534,0.14291602
0.168,0.21679000,0.13774237,0.14530690,0.14427811
0.169,0.22081000,0.13904004,0.14669056,0.14564210
0.170,0.22162000,0.14033968,0.14807626,0.14700794
0.171,0.22752000,0.14164126,0.14946394,0.14837556
0.172,0.22924000,0.14294471,0.15085354,0.14974489
0.173,0.22699000,0.14424999,0.15224500,0.15111588
0.174,0.23158000,0.14555704,0.15363825,0.15248847
0.175,0.23610000,0.14686580,0.15503322,0.15386259
0.176,0.23748000,0.14817624,0.15642987,0.15523818
0.177,0.23541000,0.14948830,0.15782812,0.15661519
0.178,0.24135000,0.15080192,0.15922792,0.15799355
0.179,0.24071000,0.15211706,0.16062921,0.15937320
0.180,0.24792000,0.15343367,0.16203192,0.16075409
0.181,0.25079000,0.15475170,0.16343599,0.16213616
0.182,0.24705000,0.15607109,0.16484138,0.16351935
0.183,0.25424000,0.15739180,0.16624800,0.16490359
0.184,0.25344000,0.15871379,0.16765582,0.16628885
0.185,0.25960000,0.16003700,0.16906476,0.16767504
0.186,0.25926000,0.16136138,0.17047478,0.16906213
0.187,0.25852000,0.16268689,0.17188580,0.17045005
0.188,0.26378000,0.16401348,0.17329779,0.17183875
0.189,0.26656000,0.16534110,0.17471067,0.17322817
0.190,0.27238000,0.16666971,0.17612439,0.17461826
0.191,0.26703000,0.16799925,0.17753890,0.17600897
0.192,0.26943000,0.16932970,0.17895413,0.17740023
0.193,0.27762000,0.17066099,0.18037004,0.17879200
0.194,0.27711000,0.17199308,0.18178657,0.18018422
0.195,0.27857000,0.17332593,0.18320366,0.18157684
0.196,0.27894000,0.17465949,0.18462126,0.18296981
0.197,0.28551000,0.17599373,0.18603931,0.18436307
0.198,0.29346000,0.17732858,0.18745776,0.18575658
0.199,0.28444000,0.17866402,0.18887656,0.18715027
0.200,0.28950000,0.18000000,0.19029565,0.18854411
0.201,0.28804000,0.18133647,0.19171498,0.18993804
0.202,0.29640000,0.18267340,0.19313451,0.19133200
0.203,0.29658000,0.18401073,0.19455416,0.19272596
0.204,0.30117000,0.18534843,0.19597390,0.19411986
0.205,0.29825000,0.18668646,0.19739368,0.19551366
0.206,0.29840000,0.18802478,0.19881343,0.19690729
0.207,0.29966000,0.18936333,0.20023312,0.19830072
0.208,0.30654000,0.19070209,0.20165269,0.19969391
0.209,0.30541000,0.19204102,0.20307209,0.20108679
0.210,0.30774000,0.19338006,0.20449127,0.20247932
0.211,0.31143000,0.19471919,0.20591019,0.20387147
0.212,0.31237000,0.19605836,0.20732879,0.20526318
0.213,0.32098000,0.19739754,0.20874702,0.20665440
0.214,0.31585000,0.19873668,0.21016485,0.20804510
0.215,0.32037000,0.20007575,0.21158221,0.20943522
0.216,0.32031000,0.20141471,0.21299907,0.21082472
0.217,0.32017000,0.20275352,0.21441537,0.21221356
0.218,0.32323000,0.20409214,0.21583107,0.21360170
0.219,0.32679000,0.20543054,0.21724612,0.21498909
0.220,0.33317000,0.20676868,0.21866049,0.21637569
0.221,0.33048000,0.20810652,0.22007411,0.21776146
0.222,0.33126000,0.20944403,0.22148695,0.21914635
0.223,0.33037000,0.21078117,0.22289896,0.22053032
0.224,0.33027000,0.21211791,0.22431011,0.22191334
0.225,0.33789000,0.21345420,0.22572033,0.22329536
0.226,0.33988000,0.21479002,0.22712960,0.22467634
0.227,0.34186000,0.21612533,0.22853786,0.22605624
0.228,0.34302000,0.21746010,0.22994508,0.22743503
0.229,0.33893000,0.21879429,0.23135121,0.22881265
0.230,0.34619000,0.22012786,0.23275621,0.23018909
0.231,0.34557000,0.22146079,0.23416004,0.23156429
0.232,0.34975000,0.22279305,0.23556266,0.23293821
0.233,0.35110000,0.22412459,0.23696403,0.23431083
0.234,0.35154000,0.22545539,0.23836409,0.23568210
0.235,0.35485000,0.22678541,0.23976283,0.23705199
0.236,0.35572000,0.22811462,0.24116019,0.23842046
0.237,0.35755000,0.22944299,0.24255613,0.23978747
0.238,0.35725000,0.23077050,0.24395063,0.24115300
0.239,0.36417000,0.23209710,0.24534363,0.24251700
0.240,0.36401000,0.23342277,0.24673510,0.24387944
0.241,0.36187000,0.23474747,0.24812500,0.24524028
0.242,0.36098000,0.23607119,0.24951329,0.24659949
0.243,0.36162000,0.23739388,0.25089995,0.24795705
0.244,0.37038000,0.23871552,0.25228492,0.24931290
0.245,0.36778000,0.24003607,0.25366817,0.25066703
0.246,0.37427000,0.24135552,0.25504967,0.25201940
0.247,0.37667000,0.24267382,0.25642938,0.25336998
0.248,0.37510000,0.24399096,0.25780727,0.25471873
0.249,0.37004000,0.24530690,0.25918330,0.25606563
0.250,0.37648000,0.24662162,0.26055743,0.25741064
0.251,0.38081000,0.24793509,0.26192964,0.25875373
0.252,0.37499000,0.24924728,0.26329988,0.26009488
0.253,0.37980000,0.25055816,0.26466812,0.26143404
0.254,0.37993000,0.25186772,0.26603433,0.26277121
0.255,0.38229000,0.25317591,0.26739848,0.26410634
0.256,0.38674000,0.25448272,0.26876053,0.26543940
0.257,0.38484000,0.25578812,0.27012046,0.26677037
0.258,0.38652000,0.25709208,0.27147822,0.26809922
0.259,0.38384000,0.25839458,0.27283379,0.26942593
0.260,0.39067000,0.25969560,0.27418714,0.27075045
0.261,0.39392000,0.26099511,0.27553823,0.27207278
0.262,0.38825000,0.26229308,0.27688704,0.27339288
0.263,0.39295000,0.26358949,0.27823353,0.27471072
0.264,0.39304000,0.26488432,0.27957767,0.27602629
